NAME	CLUSTER	SUB-CLUSTER
TYPE	group	group
LS-15012_S01_E1-50	Sst	Sst Myh8_4
LS-15012_S02_E1-50	Sst	Sst Mrap2_3
LS-15012_S03_E1-50	Sst	Sst Myh8_4
LS-15012_S04_E1-50	Sst	Sst Mrap2_2
LS-15012_S05_E1-50	Sst	Sst Myh8_4
LS-15012_S06_E1-50	Sst	Sst Mrap2_2
LS-15012_S07_E1-50	Sst	Sst Myh8_4
LS-15012_S08_E1-50	Sst	Sst Myh8_4
LS-15012_S09_E1-50	Sst Chodl	Sst Chodl
LS-15012_S10_E1-50	Sst	Sst Mrap2_2
LS-15012_S11_E1-50	Sst	Sst Mrap2_2
LS-15012_S12_E1-50	Sst	Sst Mrap2_2
LS-15012_S13_E1-50	Sst	Sst Mrap2_2
LS-15012_S14_E1-50	Sst	Sst Mrap2_3
LS-15012_S17_E1-50	Sst	Sst Mrap2_2
LS-15012_S18_E1-50	Sst	Sst Mrap2_2
LS-15012_S19_E1-50	Sst	Sst Mrap2_2
LS-15012_S20_E1-50	Sst	Sst Mrap2_3
LS-15012_S21_E1-50	Sst	Sst Mrap2_2
LS-15012_S22_E1-50	Sst	Sst Mrap2_3
LS-15012_S23_E1-50	Sst	Sst Mrap2_2
LS-15012_S24_E1-50	Sst	Sst Mrap2_2
LS-15012_S25_E1-50	Sst	Sst Mrap2_2
LS-15012_S26_E1-50	Sst	Sst Mrap2_3
LS-15012_S27_E1-50	Sst	Sst Mrap2_2
LS-15012_S28_E1-50	Sst	Sst Mrap2_2
LS-15012_S29_E1-50	Sst	Sst Mrap2_3
LS-15012_S30_E1-50	Sst	Sst Mrap2_3
LS-15012_S31_E1-50	Sst	Sst Mrap2_3
LS-15012_S32_E1-50	Sst	Sst Mrap2_2
LS-15012_S33_E1-50	Sst	Sst Mrap2_2
LS-15012_S34_E1-50	Sst	Sst Syndig1l_2
LS-15012_S35_E1-50	Sst	Sst Mrap2_1
LS-15012_S36_E1-50	Sst	Sst Mrap2_2
LS-15012_S37_E1-50	Sst Chodl	Sst Chodl
LS-15012_S38_E1-50	Sst	Sst Myh8_3
LS-15012_S39_E1-50	Sst	Sst Myh8_3
LS-15012_S40_E1-50	Sst	Sst Mrap2_3
LS-15012_S41_E1-50	Sst	Sst Crygs_1
LS-15012_S42_E1-50	Sst	Sst Myh8_3
LS-15012_S43_E1-50	Sst	Sst Syndig1l_2
LS-15012_S44_E1-50	Sst	Sst Mrap2_2
LS-15012_S45_E1-50	Sst	Sst Myh8_3
LS-15012_S46_E1-50	Sst	Sst Syndig1l_2
LS-15012_S47_E1-50	Sst	Sst Myh8_1
LS-15012_S48_E1-50	Sst	Sst Syndig1l_1
LS-15012_S49_E1-50	Sst	Sst Mrap2_2
LS-15012_S50_E1-50	Sst	Sst Crygs_2
LS-15012_S51_E1-50	Sst	Sst C1ql3
LS-15012_S52_E1-50	Sst	Sst Myh8_4
LS-15012_S53_E1-50	Sst	Sst Mrap2_1
LS-15012_S54_E1-50	Sst	Sst Myh8_4
LS-15012_S55_E1-50	Sst	Sst Myh8_4
LS-15012_S56_E1-50	Sst	Sst Syndig1l_1
LS-15012_S57_E1-50	Vip 	Vip Cd34_1
LS-15012_S58_E1-50	Vip	Vip Mybpc1_1
LS-15012_S59_E1-50	Vip	Vip Chat_1
LS-15012_S60_E1-50	Vip	Vip Chat_1
LS-15012_S61_E1-50	Vip	Vip Mybpc1_1
LS-15012_S62_E1-50	Vip	Vip Sfrp2 1
LS-15012_S63_E1-50	Vip	Vip Mybpc1_1
LS-15012_S64_E1-50	Vip	Vip Chat_3
LS-15012_S65_E1-50	Vip	Vip Krt12
LS-15012_S66_E1-50	Vip 	Vip Cd34_1
LS-15012_S67_E1-50	Vip	Vip Mybpc1_1
LS-15012_S68_E1-50	Vip	Vip Mybpc1_1
LS-15012_S69_E1-50	Vip	Vip Mybpc1_1
LS-15012_S70_E1-50	Vip	Vip Mybpc1_1
LS-15012_S71_E1-50	Vip	Vip Mybpc1_1
LS-15012_S72_E1-50	Vip	Vip Mybpc1_1
LS-15012_S73_E1-50	Vip	Vip Chat_3
LS-15012_S74_E1-50	Vip	Vip Krt12
LS-15012_S75_E1-50	Vip	Vip Chat_3
LS-15012_S76_E1-50	Vip	Vip Krt12
LS-15012_S77_E1-50	Vip	Vip Gpc3 2
LS-15012_S78_E1-50	Vip	Vip Chat_1
LS-15012_S79_E1-50	Vip	Vip Cd34_2
LS-15012_S80_E1-50	Vip	Vip Gpc3 2
LS-15012_S89_E1-50	Vip	Vip Gpc3 2
LS-15012_S90_E1-50	Vip	Vip Gpc3 2
LS-15012_S91_E1-50	Vip	Vip Gpc3 3
LS-15012_S92_E1-50	Vip	Vip Krt12
LS-15012_S93_E1-50	Vip	Vip Krt12
LS-15012_S94_E1-50	Vip	Vip Sfrp2 2
LS-15012_S95_E1-50	Vip	Vip Gpc3 2
LS-15013_S01_E1-50	Sst	Sst Crygs_1
LS-15013_S02_E1-50	Sst	Sst Myh8_3
LS-15013_S03_E1-50	Sst	Sst Myh8_1
LS-15013_S04_E1-50	Sst	Sst Myh8_4
LS-15013_S05_E1-50	Sst	Sst Myh8_4
